Title,Artist,Link,Details
Port Rachrainn,Maurice MacGonigal PRHA (1900 – 1979),https://www.themodel.ie/?artwork=port-rachrainn-by-maurice-macgonigal-prha-1900-1979,"Date: N.D.Dimensions: 76.5 × 51cmMedium: Oil on canvasCollection: Niland CollectionProvenance: On loan from the Haverty Trust
Description:
Maurice MacGonigal’s oeuvre included set designs for the Abbey Theatre, illustrations for Cuala Press and a mural for the Irish Pavilion at the New York World Fair. Despite this diversity, the work for which he is best remembered are his images of the landscape and people of the west of Ireland, particularly Connemara, Donegal and the islands of Achill and Aran. Less well known are his land and seascapes inspired by North County Dublin where he painted around Loughshinny, Rush, Skerries and Portrane.
The setting for this painting is the seashore at Portrane, which was traditionally known as Port Rachrainn. The unusual composition focuses on the abstracted patterns made by the lichen covered rocks in the foreground rather than Portrane Martello Tower which can be seen in the distance. Built during the nineteenth-century, at sites throughout the British Empire, Martello towers are small forts originally designed to defend the coasts of England and Ireland from invasion by Napoleonic forces. Around fifty Martello towers were built in Ireland, including a number on Dublin Bay all in sight of one another for communication purposes. The few surviving towers include this one at Portrane and the tower at Sandycove in which James Joyce once lived.
Written by Riann Coulter"
Portrait,Marie Foley (b.1959),https://www.themodel.ie/?artwork=portrait-by-marie-foley-b-1959,"Date: 1994Dimensions: 450 × 100 × 280cmMedium: Wood, porcelain, metalCollection: Graeve CollectionProvenance: Acquired from the artist by Jobst Graeve"
Portrait Figure of an Irish Gentleman,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=portrait-figure-of-an-irish-gentleman-by-jack-b-yeats-1871-1957,"Date: c. 1900Dimensions: 25.5 × 35.5cmMedium: WatercolourCollection: Niland CollectionProvenance: Presented to Sligo County Library and Museum in by James A. Healy in 1965, as a memorial to his parents John and Catherine Healy.
Description:
The original title of the painting has not been identified. It is probably the ‘Head and Shoulders of a Man with Landscape’ listed in the inventory of John Quinn’s collection in 1924. Hilary Pyle has compared the image of man silhouetted against a coastal landscape with one used by Yeats to illustrate A Broadsheet of February 1903. The latter was accompanied by Lady Gregory’s translation of ‘It’s my grief that I am of the race of poets’(1).
The Niland watercolour uses a blend of murky browns and strong greens in an expressive manner typical of Yeats’s early work in this medium. The painting is full of formal and thematic contrasts. The age and pensive nature of the man is contrasted by the youth and physical activity of the two swimmers in the sea behind him. The dramatic spatial gap between the figure in the foreground and the expanding coastline behind him further evokes the difference between his world of contemplative thought and the ongoing one of nature and physical life that surrounds him. It is a theme that Yeats was to develop in his later paintings for example, Many Ferries, (1948, National Gallery of Ireland) which uses a similar composition.
(1) H. Pyle, Jack B. Yeats. His Watercolours and Pastels, Irish Academic Press, 1993, p.94.
Written by Roisin Kennedy"
Portrait of a Girl (woman with white collar) by Artist Unknown,Artist Unknown,https://www.themodel.ie/?artwork=portrait-of-a-girl-woman-with-white-collar-by-artist-unknown,Date: N.D.Dimensions: 29.5 × 44.25cmMedium: OilCollection: Niland CollectionProvenance: Unknown
Portrait of a Woman,Estella Solomons (1882-1968),https://www.themodel.ie/?artwork=portrait-of-a-woman-by-estella-solomons-1882-1968,"Date: N.D.Dimensions: 39 × 48.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Bequest of Ms Kathleen Goodfellow, 1980
Description:
The subject of this intimate portrait is Solomons’ close friend Kathleen Goodfellow (1891–1980). Born in Dublin, Goodfellow was a poet and writer who published under the pseudonym Michael Scot. The two women, who were both members of Cumann na mBan, first met during the Easter Rising while sheltering from bullets on Mount Street.
In 1926, Solomons married the poet and editor James Starkey who was better known by his pen name, Seumas O’Sullivan. Together they produced the influential Dublin Magazine which played a significant role in encouraging Irish art and literature from the 1920s until O’Sullivan’s death in 1958. Goodfellow both contributed to, and was the primary patron of this publication. In 1938 Solomons and O’Sullivan became Goodfellow’s neighbours when they rented one of her houses on Morehampton Road, Donnybrook. The house, along with many others on the street, was owned by Goodfellow whose private income came from family property (1).
During their long friendship, Solomons’ painted her friend several times. Two of these portraits, both bequeath by Goodfellow, are in the Model and Niland Collection, another is in the National Gallery of Ireland.
1. Dardis Clarke, ‘The Dark Lady of the Dublin Magazine’, Irish Times, 13 February, 1981.
Written by Riann Coulter"
Portrait of Augusta Gregory,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=portrait-of-augusta-gregory-by-john-butler-yeats-1839-1922,Date: 1903Dimensions: 22.5 × 29.5cmMedium: PencilCollection: Niland CollectionProvenance: Presented by James A Healy in 1965 (John & Catherine Healy Memorial Collection).
Portrait of Barrie Cooke,Nick Miller (b.1962),https://www.themodel.ie/?artwork=portrait-of-barrie-cooke-by-nick-miller-b-1962,"Date: 1997Dimensions: 94.5 × 95cmMedium: Oil on linenCollection: Niland CollectionProvenance: Purchased in 1997
Description:
Nick Miller was born in London in 1962 and studied Development Studies at the University of East Anglia before deciding to pursue his interest in art. Relocating to Ireland, he spent almost a decade in Dublin before moving to Kilmactranny, County Sligo, where he lived until his recent move to Rosses Point.
While much of Miller’s recent work has focused on the unruly hedgerows and rugged fields of Kilmactranny, he is also an accomplished portrait, figure and still life painter. In his encounters with each genre, Miller applies the same focused attention to capturing the atmosphere or mood of his subject. Inevitably, it is when the artist knows his subject well – be that a field or a figure – that this concentrated approach is most successful. Such paintings suggest the passage of time spent, not only in the physical laying on of paint, but also in developing a rapport between artist and subject.
The artist Barrie Cooke, who lives near Kilmactranny, is a close friend and helped Miller to acquire the truck he uses as a mobile studio. When he agreed to sit for this portrait, Cooke asked for a mirror to be set up so that he could watch the painting process.
Written by Riann Coulter"
Portrait of Douglas Hyde,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=portrait-of-douglas-hyde-by-john-butler-yeats-1839-1922,Date: 1901Dimensions: 11 × 16cmMedium: PencilProvenance: Presented by James A Healy in 1966 (John and Catherine Healy Memorial Collection)
Portrait of Jack B. Yeats,Estella Solomons (1882-1968),https://www.themodel.ie/?artwork=portrait-of-jack-b-yeats-by-estella-solomons-1882-1968,"Date: 1923Medium: Oil on canvasCollection: Niland CollectionProvenance: Purchased bySligo County Library and Museum, 1962"
Portrait of Jennie Mitchell,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=portrait-of-jennie-mitchell-by-john-butler-yeats-1839-1922,"Date: 1892Dimensions: 15.5 × 21cmMedium: PencilCollection: Niland CollectionProvenance: Gift of Mrs. V. Franklin in 1959
Description
Jennie Mitchell was the younger sister of Susan Mitchell, the poet and writer whose portrait John B. Yeats later painted. Jennie got to know the Yeats family several years before her sister when she traveled with Lily Yeats on a boat from Ireland to England in 1890. She spent the next two years in Germany and Austria and on her way back to Ireland she visited the Yeats family in London. This drawing of her was made at this time. She was twenty-four years old. Yeats, who sketched his many guests, presents Jennie as a confident young woman. Her face with an open and frank expression is turned towards the artist in a natural and relaxed pose. Jennie had been brought up in Sligo and this common interest may have helped her to become a good friend of the Yeats sisters. In later life she published a number of stories and was a companion to her sister Susan. This drawing was presented to Sligo by their sister, Victoria Franklin in 1959.
Written by Roisin Kennedy"
Portrait of John O’Leary,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=portrait-of-john-oleary-by-john-butler-yeats-1839-1922,"Date: c. 1900Dimensions: 11 × 16.5cmMedium: PencilCollection: Niland CollectionProvenance: Presented by James A. Healy in New York to Sligo County Library and Museum. In memory of his parents, John and Catherine Healy, 1966.
Description
John O’Leary was a favorite subject of John Butler Yeats. The National Gallery of Ireland owns three portraits in oil of him by Yeats and there are several drawings in existence, of which the Niland Collection is one of the most striking. O’Leary was arrested in 1865 for his involvement in Fenian propaganda. He was sentenced to 20 years. He spent nine years in penal servitude in England and the rest living in exile in Paris. Upon his return to Dublin in 1885, O’Leary was a member of the Contemporary Club whose meetings Yeats also attended and this was where he first sketched the impressive bearded figure of the Fenian. O’Leary’s gentlemanly behaviour and his knowledge of nationalism and cultural matters made a great impression on John and William Butler Yeats. WB regarded O’Leary as the ideal personification of Irish patriotism to which he later referred in his opening lines of September 1913, ‘Romantic Ireland’s dead and gone, Its with O’Leary in the grave’.
The Niland Collection drawing was made in the home of Mrs. Alice Stopford Green, an historian and a passionate Irish nationalist. It is inscribed ‘John O’Leary, when dining with Mrs. Richard Green’. Stopford Green, the Irish born widow of J.R. Green, entertained significant literary and political figures at her home in Kensington Square in London, where this drawing was made. O’Leary along with Arthur Griffith and Edward Carson were regular guests. She returned to live in Ireland in 1918 and was made a senator of the Irish Free State in 1922.
Written by Roisin Kennedy"
Portrait of Kitsy Franklin,George William Russell (AE) (1867-1935),https://www.themodel.ie/?artwork=portrait-of-kitsy-franklin-by-george-william-russell-ae-1867-1935,"Date: N.D.Dimensions: 54.75 × 39.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Unknown
Description:
Kitsy Franklin was the youngest child of Victoria Franklin, the sister of Jennie and Susan Mitchell whose portraits are in the Niland Collection. The Mitchells and the Franklins had strong connections with Sligo. Victoria attended school there with Jack B. Yeats and she married Harry Franklin in the town in 1899.
Kitsy was a brilliant musician and a favourite niece of Susan Mitchell. She shared her aunt’s delicate health but is shown in the full bloom of youthful splendour in AE’s portrait. AE was a life-long friend and colleague of Susan’s. They worked together on the Irish Homestead and in the 1920s on the Irish Statesman. He would have known and heard of Kitsy throughout her childhood and early womanhood. Her youth and beauty are emphasized through the simple white dress that she wears and the natural, informal manner of her hairstyle, where the blue ribbon has come undone. The portrait also hints at the spontaneity and energy of the sitter and by extension her creativity and imagination.
Written by Roisin Kennedy"
Portrait of Mary Colum,George William Russell (AE) (1867-1935),https://www.themodel.ie/?artwork=portrait-of-mary-colum-by-george-william-russell-ae-1867-1935,"Date: 1924Dimensions: 53.5 × 43cmMedium Oil: on canvasCollection: Niland CollectionProvenance: Unknown
Description:
Mary Colum (1884-1957) was an academic and writer who spent most of her adult life in New York. She was born in Collooney, Co. Sligo and later taught at Padraig Pearse’s school in St. Enda’s in Dublin. In 1912 she married the writer Padraic Colum whose literary career AE had encouraged. The couple emigrated to the United States in 1914.
Colum recounts the creation of this portrait in her auto-biography (1). It was painted in Dublin in 1924 while she was back on a visit from America. AE was interested in painting her so that he could hear her views on modern poetry, a subject on which she wrote and lectured. But during the sittings Colum had difficulty getting a word in as AE held forth on the topic. Colum found the best way of intervening was to ‘whirl off some strange piece of poetry’ usually in French or German which AE didn’t understand. AE got his revenge by making Colum’s curly red hair look wild in the finished portrait, despite the fact that she had had a finger wave put in to keep it under control. Colum also felt that AE had made her mouth too large while AE retorted that nature had given her practically no mouth and that he’d had to invent one for her. One gets a sense of the amiable tension between the two writers in the taut features of Colum’s face. The latter is relieved by the attention given to her red hair and the embroidered blue throw which she is wearing.
(1)Mary Colum, Life and the Dream, Doubleday and Company, New York, 1947, p.172.
Written by Roisin Kennedy"
Portrait of Michael Davitt,Sir William Orpen RHA (1878 – 1931),https://www.themodel.ie/?artwork=portrait-of-michael-davitt-by-sir-william-orpen-rha-1878-1931,"Date: c. 1906Dimensions: 24 × 24.5cmMedium: OilsCollection: Niland CollectionProvenance: Presented by Miss Aileen Bodkin, daughter of Dr. Thomas Bodkin, to Sligo County Library and Museum, in 1963. In memory of Dr. Thomas Bodkin.
Description:
William Orpen was one of the most successful artists of his generation. Born in Dublin, he studied at the Dublin Metropolitan School of Art, where he later became an influential teacher, and at the Slade School, London. Although he made his name painting the British aristocracy, Orpen also produced a number of portraits of distinguished Irish men for a series that Hugh Lane had originally commissioned from John B. Yeats. Orpen’s portrait of the Michael Davitt (1846–1906), Leader of the Land League, is now in the Collection of the Dublin City Gallery: The Hugh Lane, and is amongst the most successful of the series.
This painting has none of the refinement of the Hugh Lane work and appears to be an oil sketch more closely related to Orpen’s drawing of Davitt in the National Gallery of Ireland. Orpen only had a few sittings with Davitt and it is possible that both these works were executed from memory rather than life. Unusually, the Model and Niland portrait depicts Davitt’s torso from the right side. He had lost his right arm in his youth and was therefore usually depicted from the left.
Written by Riann Coulter"
Portrait of Sean Milroy,Estella Solomons (1882-1968),https://www.themodel.ie/?artwork=portrait-of-sean-milroy-by-estella-solomons-1882-1968,Date: N.D.Dimensions: 45.5 × 74.5cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Unknown
Portrait of Susan Mary (Lily) Yeats,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=portrait-of-susan-mary-lily-yeats-by-john-butler-yeats-1839-1922,"Date: 1908Dimensions: 23.5 × 32cmMedium: PencilCollection: Niland CollectionProvenance: Presented from the estate of Jack B Yeats, to Sligo Corporation in 1957"
Portrait of Susan Mary (Lily) Yeats as a child,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=portrait-of-susan-mary-lily-yeats-as-a-child-by-john-butler-yeats-1839-1922,"Date: c. 1876Dimensions: 19.5 × 12cmMedium: PencilCollection: Niland CollectionProvenance: Presented from the estate of Dr. Richard Best
Susan Mary Yeats (1866-1949) or Lily as she was called was the elder daughter of John Butler Yeats and the closest of his four children. Lily trained as an artist at the Metropolitan School of Art in Dublin and later worked as a textile artist with May Morris in London. She co-founded the Dun Emer Industries (1902) and the Cuala Industries (1908) with her sister Lolly, supervising the embroidery and textile work. Lily travelled with her father to New York in 1907 and was forced to leave him behind when he decided not to return to Ireland. Father and daughter corresponded regularly for the rest of his life and Lily’s letters were a source of amusement and comfort to the artist.John B. Yeats drew Lily many times. During her mother’s prolonged illness and after her death in 1900, Lily was the main female figure in the Yeats household and was frequently used as a model by her father. The drawing is inscribed ‘Lily Yeats as a Child’ by Lily herself who later identified many of her father’s drawings (1). Lily sits patiently with her hands crossed and has a thoughtful, distant expression on her face. Yeats was greatly admired as a painter of children, perhaps, because as in this case, he understood and was able to represent them as individuals rather than the conventional stereotypes often found in Victorian art.(1) H. Pyle, Drawings and Watercolours by John Butler Yeats and Jack B. Yeats in Sligo Municipal Art Collection, 2003, p.8.Written by Roisin Kennedy"
Portrait of Susan Mitchell,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=portrait-of-susan-mitchell-by-john-butler-yeats-1839-1922,"Date: 1897Dimensions: 11.5 × 15.5cmMedium: PencilCollection: Niland CollectionProvenance: Gift from Ms V Franklin in 1959
Description
This drawing was made while Susan Mitchell (1866-1926) was living as a paying guest and companion to Lily Yeats at the Yeats family home in Bedford Park in London. The future poet and journalist who would later work with AE on the Irish Homestead and the Irish Statesman made a very favourable impression on John Butler Yeats. He enjoyed her singing and her intellectual company. Susan also benefited from the experience of living in the Yeats household which was full of cultural conversation and interesting visitors. She later stated in a talk on John Butler Yeats that
‘In the home of Mr. Yeats I found myself in what seemed a wonderfulsociety, a society where ideas were raised above all other possessionsand where conversation ran on subjects, some of which I had indeedthought of, but which thinking I regretted in myself …’ (1).
The drawing is a preparatory study for an oil portrait which was completed in 1904 and which is now in the collection of the National Gallery of Ireland. Susan wears a white blouse with an elaborate lace collar fastened with a brooch. Yeats has depicted her costume in loose cross hatchings while the sitter’s head and features are more closely delineated. The drawing conveys the immediacy of Susan Mitchell’s presence and it shares the same intimate quality found in other sketches of the artist’s daughters and close female acquaintances with who John Butler Yeats was normally at ease.
(1)Susan Mitchell quoted in William Murphy, Prodigal Father. The Life of John Butler Yeats, (1839-1922), Cornell University Press, 1978, p.207.
Written by Roisin Kennedy"
Red Hanrahan’s Vision,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=red-hanrahans-vision-by-jack-b-yeats-1871-1957,"Date: c. 1896Dimensions: 36 × 26cmMedium: WatercolourCollection: Niland CollectionProvenance: Purchased from the Dawson gallery in 1968 by Sligo County Library and Museum.
Description:
This monochrome watercolour is an illustration to W.B. Yeats’s Stories of Red Hanrahan, which first appeared in The Secret Rose, (1897). This mystical text centres on the character of Red, a poet who sees the lovers of Ireland walking in procession on Ben Bulben. In this scene he stands and shouts to banish the ghost of one of these unhappy lovers, Devorgilla. The story and Yeats’s illustration of it are closely connected to the landscape and mythology of Sligo. Red Hanrahan stands on the dramatic rock of Lugnagall beneath which the Sligo countryside expands. Behind the gesturing figure the distinctive profile of Knocknarea with the tomb of Queen Meabh on its summit adds to the mystery and power of the landscape.
The painting was never published as an illustration and remained in Jack Yeats’s possession. His father, John Butler Yeats, provided the illustrations for W.B.’s book. The theme of Red Hanrahan recurs in Jack’s later work. It provided for him as with W.B. a fascinating symbol of the special relationship that exists between the artist and the mythical and historical significance of the land.
Written by Roisin Kennedy"
Sailor home from the sea,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=sailor-home-from-the-sea-by-jack-b-yeats-1871-1957,"Date: 1912Dimensions: 22.5 × 35cmMedium: Oil on panelCollection: Niland CollectionProvenance: Presented to Sligo County Library and Museum, 1965 by James A. Healy as a memorial to his parents John and Catherine Healy.
Description:
This early oil painting is typical of the type of work Jack Yeats was producing around 1912. The oil is thickly applied but kept within the boundaries of the outline of the various elements, rather like a direct development of Yeats’s work as an illustrator. The composition is carefully worked out with the dark figure of the man outlined against the pale grey of the sky and the street behind him. Yeats’s use of colour is equally restrained. The predominant tones of black and grey are relieved by the blue of the sea and the bright red of the sailor’s hair and beard and his exotic looking crios style belt.
The man toasts his return from the sea. He wears a nautical style cap and stands on a roadway leading directly down to the shoreline. This setting is probably inspired by Rosses Point in Co. Sligo. The seafarer cuts a bizarre figure, conspicuous by his dark suit and red hair. Yeats hints at the adventurousness of the sailor’s life and at the way in which his presence on land introduces an exciting element into ordinary village life.
Written by Roisin Kennedy"
Self Portrait,Sean Keating PRHA (1889 -1977),https://www.themodel.ie/?artwork=self-portrait-by-sean-keating-prha-1889-1977,"Date: N.D.Dimensions: 49 × 59.25cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Presented by James A Healy, 1975 (Josephine C Healy Memorial Collection)
Description:
Born in Limerick, Seán Keating attended art classes in the Limerick Technical School before winning a scholarship to the Dublin Metropolitan School of Art. At the Metropolitan School Keating was taught by William Orpen and soon became one of his favourite pupils. Orpen later appointed Keating as his assistant in London and also used him as a model in several of his Irish themed paintings including The Holy Well, 1916 and Man of the West, 1915. In both paintings Keating is depicted as the quintessential Irishman deeply rooted in the landscape and traditions of the west of Ireland.
Like Orpen, Keating created numerous self-portraits during his long career and often used himself and his friends as models. He also made a number of images where he depicted himself as a man of the west. This element of masquerade, which can be interpreted as Keating’s way of declaring his allegiance to a nationalist idea of Ireland, is particularly evident in his well known painting, Men of the West, 1915. Drawing on the iconography of both the Irish and American west, Keating depicts himself as a rebel, ready to defend the Irish flag and the traditional culture of the west of Ireland.
Written by Riann Coulter"
Self Portrait,John Butler Yeats (1839 – 1922),https://www.themodel.ie/?artwork=self-portrait-by-john-butler-yeats-1839-1922,"Date: 1916Dimensions: 26 × 35cmMedium: Oil on boardCollection: Niland CollectionProvenance: Presented by James A Healy in 1965 (John & Catherine Healy Memorial Collection)
Description
This small oil painting is a preparatory work for John Butler Yeats’s Self-Portrait which he worked on for the last eleven years of his life. It relates to the later and larger Self-Portrait in the Yeats family collection and another version in the National Gallery of Ireland collection, both of which were found in the artist’s studio at the time of his death in 1922. A pencil study for these final oil versions of the Self-Portrait is also in the Niland Collection.
John Butler Yeats travelled with his daughter Lily to New York in 1907 ostensibly for a short visit. After several months Lily returned to Ireland without her father who remained in New York for the rest of his life. Without any regular income the elderly Yeats led a precarious existence and relied on the support and friendship of his admirers in America. John Quinn, the Irish-American lawyer and collector, was undoubtedly the most significant of these. In 1911 he commissioned a Self-Portrait from John B. Yeats and the artist threw himself into the project producing several drawings and oils over the following years.
While the final versions show the artist at his easel in his room at the Petitpas boarding house, this head and shoulders portrait is quite different. Its dramatic composition consists of four quadrants with the head of the artist a fifth and central element. The strong yellow and greens of the upper left section are echoed in the light filled features of the artist who looks directly out of the painting. The gold pin of his necktie breaks up the intense black of the lower half of the composition. The almost abstract qualities of the design reflect Yeats’s exposure to modernist art in New York where he visited the Armory Show in 1913.
Written by Roisin Kennedy"
Shining Shallows,George William Russell (AE) (1867-1935),https://www.themodel.ie/?artwork=shining-shallows-by-george-william-russell-ae-1867-1935,"Date: 1908Dimensions: 61.5 × 40.5cmMedium Oil: on canvasCollection: Niland CollectionProvenance: Presented by James A Healy, 1966, (John & Catherine Healy Memorial Collection)
Description:
This scene of children wading on a beach at sunset is an impressive example of Russell’s imaginative landscapes which were extremely popular when exhibited at the beginning of the 20th century. Many of his paintings were created while on holidays in Donegal or Sligo or at weekends when he had some free time from his other work as a poet, essayist and active member of the co-operative movement.
The influence of French Symbolist art which Russell would have known from collections in Ireland and England and through reproduction can be seen in the sinuous forms of the sand and the current of the tide which sweeps across the composition. The rich gold, blues and reds of the sky transform the scene from the mundane into something more timeless and significant. This exaggeration of the scene reflects Russell’s interest in spiritualism and belief in a higher reality. He has signed the painting AE in the lower right, which is derived from the word Aeon, meaning an emanation of God. Russell was an active member of Dublin’s Theosophical Society and claimed to have experienced supernatural visions.
This painting was bought from the artist by John Quinn. It is listed in a letter from Russell to Quinn of 17 October 1908 in which the artist confirms that it has been packed along with other paintings to send to New York (1). It was exhibited at the American Art Galleries in 1927 as part of the John Quinn collection where Healy may have acquired it. Healy presented the work to Sligo in 1966
(1) Marian Burleigh, George Russell (AE) The Painter of the Irish Renaissance, New York University, 1978, Ph.D.
Written by Roisin Kennedy"
"Shruna Meala, Rosses Point",Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=shruna-meala-rosses-point-by-jack-b-yeats-1871-1957,Date: 1923Dimensions: 35 × 22.5cmMedium: Oil on panelCollection: Niland CollectionProvenance: Purchased by Sligo County Library and Museum in 1963.
Siege II,Rita Duffy (b.1959),https://www.themodel.ie/?artwork=siege-ii-by-rita-duffy-b-1959,"Date: 1989Dimensions: 122.25 × 122cmMedium: Oil on gesso panelCollection: Graeve CollectionProvenance: Acquired by Jobst Graeve form Project Arts Centre, Dublin in 1990"
Simon the Cyrenian,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=simon-the-cyrenian-by-jack-b-yeats-1871-1957,"Date: 1901Dimensions: 30.5 × 23cmMedium: WatercolourCollection: Niland CollectionProvenance: Purchased by Sligo County Library and Museum through public subscription in 1963
Description:
This is one of several ‘sacred pictures’ as Yeats described them, with a crowd grouped in the upper half of the picture, with Christ and Simon who carries a cross."
Singing “The beautiful Picture”,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=singing-the-beautiful-picture-by-jack-b-yeats-1871-1957,"Date: 1925Dimensions: 35.5 × 23cmMedium: Oil on panelCollection: Niland CollectionProvenance: Presented by James A. Healy in New York to Sligo County Library and Museum. In memory of his parents, John and Catherine Healy in 1966.
Description:
A man stands on a summer’s evening holding a ballad sheet in his hands. His open mouth and expressive face indicate that he is singing. Behind him modest white-washed houses and a thatched building with a cart-wheel propped up against its wall suggest the modest rural setting where the performance is taking place. The ballad singer was a recurring theme in Yeats’s work, appearing in his Broadsheets and Broadsides as a central figure in Irish life. Ballad singers were nomadic people who travelled from fair to fair selling cheaply printed copies of ballads as souvenirs of their performances. Yeats collected many of these and used them as titles or as subjects for his work. Ballads were an important feature of popular entertainment and of the dispersal of music and culture in 19th century Ireland. The singer who could capture the attention and imagination of the community through his rendition of popular ballads was for Yeats an artist of considerable influence and significance.
The painting was given to James A. Healy by the artist in 1939 and subsequently presented to Sligo.
Written by Roisin Kennedy"
Singing The Minstrel Boy,Jack B. Yeats (1871-1957),https://www.themodel.ie/?artwork=singing-the-minstrel-boy-by-jack-b-yeats-1871-1957,"Date: 1923Dimensions: 59.5 × 44cmMedium: Oil on canvasCollection: Niland CollectionProvenance: Gift to Sligo County Library and Museum in 1963, from Dr. Thomas McGreevy."
Study towards an Image of W.B. Yeats,Louis le Brocquy (1916 – 2012),https://www.themodel.ie/?artwork=study-towards-an-image-of-w-b-yeats-by-louis-le-brocquy-1916-2012,"Date: 1984Dimensions: 65.5 × 52.5cmMedium: Lithograph on handmade Japanese paperCollection: Niland CollectionProvenance: Atelier Chave, Vence, edition 30"
